entityName,variationId,count,firstTimestamp,lastTimestamp
Posts,57,52,1217540572667,1286367727837
Posts,82,2501,1217542088620,1471351721187
Posts,288,5384812,1217542677883,1481430344767
Posts,182,61,1219412101550,1238464299977
Posts,46,895,1219420124490,1478603706837
Posts,25,251,1219594126983,1471872238840
Posts,171,223,1219686958997,1479761650357
Posts,205,3,1221752123047,1240495563420
Posts,16,7,1221753030593,1237763670997
Posts,257,1,1245699910777,1245699910777
Posts,201,1,1245707944080,1245707944080
Posts,186,1,1246619782637,1246619782637
Posts,110,9,1247225217637,1291980047230
