entityName,variationId,count,firstTimestamp,lastTimestamp
Users,3,389413,1217455200000,1535834878713
Users,1,780729,1217506951287,1535859214103
Users,16,1205296,1217545151147,1535855290843
Users,2,30314,1217585894520,1535857668787
Users,12,24257,1217590493880,1535857939133
Users,4,25575,1217596325870,1535436610997
Users,10,888519,1217600913453,1535859763270
Users,7,353844,1217600915497,1535836737673
Users,15,49565,1217648436787,1534765245050
Users,8,49702,1217655286760,1533881631010
Users,11,12091,1217929469653,1535845331700
Users,5,633784,1217934501077,1535857297877
Users,14,4763439,1219156516637,1535859856507
Users,6,16696,1219367146303,1535843981843
Users,9,89947,1221197285250,1535858656510
Users,13,8512,1221480446217,1535850039880
Users,17,232,1373535130800,1535415724617
Users,18,9,1440000472130,1528814527937
Postlinks,1,5292624,1272243588130,1535869052137
Votes,4,145558775,1217455200000,1535839200000
Votes,3,10374258,1222984800000,1535839200000
Votes,1,184967,1233010800000,1535839200000
Votes,2,119651,1233615600000,1535839200000
Tags,1,39013,0,0
Tags,2,14032,0,0
Comments,3,67577341,1217600697767,1535868373320
Comments,2,761331,1217824544397,1535722197620
Comments,1,4488,1220941098713,1533542753863
Comments,4,583,1222945484943,1306339236220
Posts,55,55,1217533372667,1353399695930
Posts,80,3065,1217534888620,1521287226470
Posts,282,7444162,1217535477883,1535859160343
Posts,242,169,1217541401303,1515745187253
Posts,202,981,1217544158903,1513663133663
Posts,200,3781,1217545151177,1462871914470
Posts,88,1312636,1217560195993,1535855718180
Posts,267,2408,1217560364193,1532777220760
Posts,265,60877,1217585782167,1532718470980
Posts,292,17187616,1217585957417,1535859966203
Posts,279,16321,1217586171593,1535514736033
Posts,209,8713,1217586657630,1535378191367
Posts,269,2041,1217588197920,1534915885117
Posts,169,40,1217589440640,1270031388293
Posts,277,32330,1217590679723,1535812010690
Posts,140,156,1217590707133,1497871374330
Posts,255,30789,1217591160097,1535823105893
Posts,78,22266,1217591793837,1505186679613
Posts,24,375,1217593192510,1504896296150
Posts,291,133956,1217594461110,1535642727333
Posts,22,2042,1217594484277,1463037205060
Posts,100,2000,1217596985190,1533848430560
Posts,290,263533,1217597243093,1535715570437
Posts,170,29,1217603588933,1238756857873
Posts,275,10493,1217605915407,1535687940530
Posts,210,706026,1217608574070,1535851569760
Posts,31,63489,1217608939343,1535814458683
Posts,107,3107304,1217622882853,1535857524720
Posts,261,10488,1217656567933,1293574401217
Posts,86,9607,1217660307540,1526576853250
Posts,221,1386,1217662097683,1534514600340
Posts,263,54592,1217662854693,1535857531237
Posts,3,24,1217699510250,1275063518917
Posts,201,2149,1217705951733,1535302841747
Posts,30,830,1217721959620,1533464611237
Posts,106,27384,1217768830073,1535684976240
Posts,273,35982,1217770457523,1535530058473
Posts,82,319,1217792557903,1384264165220
Posts,9,573,1217798301627,1472923068233
Posts,84,6880,1217803645143,1535109444707
Posts,67,21,1217818118013,1279363804267
Posts,23,128,1217821800337,1509996800703
Posts,99,1757,1217825480323,1525014890857
Posts,252,2082,1217851046097,1439927208743
Posts,96,882074,1217854030970,1535853288533
Posts,229,3117296,1217854961893,1535859800107
Posts,217,500905,1217858729333,1535859682867
Posts,150,430,1217860246347,1533896895323
Posts,37,31896,1217880070317,1535787231323
Posts,262,2445,1217884098603,1533238990927
Posts,119,12,1217886622933,1265728484733
Posts,105,5705,1217915138310,1535649461747
Posts,220,3166,1217927716953,1534327272800
Posts,115,2802824,1217937425033,1535858745207
Posts,146,716,1217941500170,1531810293870
Posts,29,930,1217976965937,1534235612780
Posts,240,3011,1218030299433,1238959474713
Posts,215,2715,1218032055100,1533152061490
Posts,228,25975,1218036439883,1535820932003
Posts,51,109377,1218050097507,1535843285717
Posts,47,150458,1218061203607,1535827171250
Posts,87,10741,1218061503457,1534846648923
Posts,237,2852617,1218068878560,1535859998200
Posts,61,2671,1218068998180,1516377237187
Posts,253,573,1218099358613,1532189484443
Posts,155,164,1218136044760,1511380560310
Posts,40,208,1218142830053,1518722124407
Posts,186,7,1218193308757,1263616795117
Posts,98,11001,1218197145290,1533011465153
Posts,79,1463,1218211443653,1525032052133
Posts,43,760,1218244799117,1533825726980
Posts,165,1678,1218354581077,1535570872403
Posts,184,69,1218363084443,1238951889760
Posts,147,38708,1218384668100,1535831548927
Posts,94,14277,1218451843787,1533455880177
Posts,219,3104,1218535261780,1446447280890
Posts,38,370,1218536681653,1433823114357
Posts,272,280,1218537158347,1446999806733
Posts,227,3143,1218541410667,1535848897773
Posts,35,860,1218544539643,1494034364507
Posts,113,12862,1218547758067,1535602830000
Posts,117,85,1218551544540,1238781915717
Posts,208,1913,1218564373843,1534336493803
Posts,49,318,1218628308450,1535715025097
Posts,145,263,1218638703000,1533884277107
Posts,95,11356,1218639358000,1535423830170
Posts,25,24,1218650106393,1238941982137
Posts,53,654,1218650212707,1284733447437
Posts,149,299,1218672062253,1524483640947
Posts,59,196,1218672653873,1293437402307
Posts,138,516,1218675148407,1376381876770
Posts,246,23,1218692558540,1238699184690
Posts,205,3639,1218718590123,1534182655223
Posts,168,207,1218755130520,1351742462623
Posts,1,232,1218801675030,1238883720227
Posts,102,236,1218801841017,1484583811220
Posts,142,7,1218959242610,1231934278253
Posts,7,79,1218988257937,1246159252477
Posts,45,234,1219049173393,1533469002357
Posts,235,5358,1219056773887,1535822606340
Posts,83,6571,1219061173973,1533574560873
Posts,65,186,1219069111430,1238980357640
Posts,247,629,1219090249207,1527013608277
Posts,10,22,1219094957643,1238673238697
Posts,224,15629,1219096690660,1535784977017
Posts,71,46,1219103506703,1237831403980
Posts,159,159,1219114658183,1535379162947
Posts,153,151,1219128368613,1422846446107
Posts,204,64,1219142073190,1403618608750
Posts,216,8164,1219164490800,1534766811170
Posts,223,76,1219172248900,1505885823787
Posts,123,37,1219337931263,1238582556320
Posts,175,60,1219404901550,1238457099977
Posts,154,154,1219409418640,1510602486677
Posts,46,1601,1219412924490,1535219536750
Posts,26,328,1219586926983,1530091033137
Posts,164,196,1219679758997,1535265605500
Posts,103,21073,1219695370227,1535696810673
Posts,36,564,1219754515757,1533032925940
Posts,66,12,1219922246223,1324916808363
Posts,114,39445,1219938476570,1535758067797
Posts,241,124,1220259607783,1533143727560
Posts,191,25,1220360408963,1263114646777
Posts,289,1490,1220440459693,1533521028737
Posts,139,219,1220447208940,1509615817083
Posts,151,20704,1220541403703,1535828906923
Posts,73,1298,1220543992073,1396737931730
Posts,56,5,1220588466517,1235550762417
Posts,206,3271,1220902450057,1535380585137
Posts,236,34076,1220905155737,1535705609483
Posts,118,7,1221121635327,1258528746007
Posts,18,119,1221156512187,1396913670390
Posts,57,29,1221168853470,1379979298583
Posts,161,169020,1221231884630,1535856459230
Posts,166,125738,1221329720187,1535855009730
Posts,62,162,1221474940820,1250504749680
Posts,180,32,1221478639410,1238440036497
Posts,258,29,1221478677600,1257436793623
Posts,127,6,1221479662660,1256516541600
Posts,293,973,1221481437253,1303790712943
Posts,177,899,1221482338763,1423068728073
Posts,182,231,1221483258833,1302990567823
Posts,176,48,1221485341637,1392265890553
Posts,185,37,1221485902847,1380331860767
Posts,264,88,1221488150480,1261482066217
Posts,238,264,1221489961953,1279380288583
Posts,63,13,1221492379080,1264974631307
Posts,285,137,1221492892710,1290101908407
Posts,197,39,1221498660793,1278480768573
Posts,129,8,1221506199227,1237899849417
Posts,75,96,1221507221260,1241515644827
Posts,11,6,1221511796087,1254903643487
Posts,124,17,1221517696567,1268560318273
Posts,77,512,1221538143923,1468883327747
Posts,54,36,1221543316837,1352508407150
Posts,60,29,1221548218203,1420464646677
Posts,64,623,1221549676147,1503046484043
Posts,218,91,1221567194447,1270191142350
Posts,181,32,1221568518683,1272713205363
Posts,68,2,1221569858087,1228768485643
Posts,8,9,1221590474670,1328196764147
Posts,27,384,1221604858573,1529121839123
Posts,39,118,1221611857467,1493583931647
Posts,193,764,1221651559577,1441497508133
Posts,249,97,1221653854023,1502508673047
Posts,230,253,1221664151223,1294780377463
Posts,189,28,1221677822270,1390417985287
Posts,198,237,1221696069370,1456482979020
Posts,160,1568,1221698194713,1535644932523
Posts,203,15,1221705103360,1244569938297
Posts,50,1657,1221714827793,1535555824470
Posts,143,185,1221725045060,1534857979930
Posts,199,3,1221744923047,1240488363420
Posts,17,9,1221745830593,1237760070997
Posts,76,36,1221765788750,1307045327910
Posts,104,14913,1221766468037,1535445778017
Posts,136,3,1221770061433,1235996560840
Posts,173,22,1221814008460,1387267241960
Posts,192,58,1222031442950,1280165862967
Posts,231,43,1222058801480,1287034234480
Posts,196,22,1222131186247,1243384519293
Posts,13,15,1222167268250,1238439281487
Posts,225,13937,1222259346673,1535452492423
Posts,125,308,1222259858977,1390954147983
Posts,69,18,1222370539387,1389617374537
Posts,4,3,1222391489610,1231252403427
Posts,72,19,1222400949760,1356111803750
Posts,211,100,1222797417760,1286329159250
Posts,286,41,1222859053360,1256228603393
Posts,126,9,1223040140137,1238792239360
Posts,207,2,1223206903050,1234946199000
Posts,157,735,1223482219247,1534074219753
Posts,222,64,1223929363343,1252343033657
Posts,81,5,1223957074207,1235347884760
Posts,122,8,1224066038207,1293176859640
Posts,167,3,1224087060463,1251259222360
Posts,260,6,1224164017143,1310163043023
Posts,120,4,1224230781610,1234184249030
Posts,194,4,1224527807857,1252142387147
Posts,172,3,1224681955753,1237870223567
Posts,121,4,1225048359240,1248110248940
Posts,20,3,1225660153007,1273679257780
Posts,212,12,1225726299800,1251359171720
Posts,171,5,1225867658720,1230544802073
Posts,12,118,1225899654507,1316365226873
Posts,271,13,1225924892600,1236382516197
Posts,245,1,1225982974377,1225982974377
Posts,144,236,1225983459040,1534853414497
Posts,187,2,1226096759310,1228996269240
Posts,2,9,1226309318877,1265984422983
Posts,131,2,1226701917650,1227819523417
Posts,135,72,1226752114747,1394707026713
Posts,183,1,1226949488397,1226949488397
Posts,141,2,1227076194017,1233883030360
Posts,5,4,1227222271853,1264363189523
Posts,239,1,1227328012203,1227328012203
Posts,19,7,1227904760197,1237717916490
Posts,14,3,1228221284073,1323242151040
Posts,116,11,1228368665567,1279660119640
Posts,259,6,1228576971313,1279836255530
Posts,178,1,1228684546437,1228684546437
Posts,133,1,1229037013147,1229037013147
Posts,130,3,1230533939020,1236355821913
Posts,156,2,1231075299390,1390124000500
Posts,101,4,1231230325243,1234638872380
Posts,89,26,1231274041653,1294032282057
Posts,41,1,1231352833283,1231352833283
Posts,16,1,1232381818590,1232381818590
Posts,132,1,1232796988933,1232796988933
Posts,85,1,1232828754747,1232828754747
Posts,15,1,1233255555933,1233255555933
Posts,188,1,1233651079310,1233651079310
Posts,112,130,1233861101177,1522995380113
Posts,152,4,1234201637087,1246827296560
Posts,137,21,1234412591260,1298321159133
Posts,162,4,1234537760793,1246353568473
Posts,134,1,1234807433833,1234807433833
Posts,44,987,1234883021777,1534410374737
Posts,97,15,1235066034573,1282035939663
Posts,28,1,1236039100353,1236039100353
Posts,42,2,1236082398297,1236299747947
Posts,90,4,1237994021000,1256736109170
Posts,21,47,1239151493007,1300802284987
Posts,70,6,1240414166433,1309288300583
Posts,74,1,1241530524167,1241530524167
Posts,109,1,1241573902790,1241573902790
Posts,128,66,1241982195153,1300848505283
Posts,190,3,1242399652433,1394004058750
Posts,6,12,1243312377620,1288856723337
Posts,226,2,1244468725180,1247944690520
Posts,174,8,1245625503347,1376584203850
Posts,251,1,1245692710777,1245692710777
Posts,195,1,1245700744080,1245700744080
Posts,179,1,1246612582637,1246612582637
Posts,108,9,1247218017637,1291976447230
Posts,234,60,1247323718483,1519741200677
Posts,148,4,1247681687510,1302933334343
Posts,58,15,1248105504280,1329384023013
Posts,32,2,1249589946760,1261988715163
Posts,158,894,1254153583203,1534660956293
Posts,214,27,1256294735410,1482734482710
Posts,52,2,1274007518090,1275344972373
Posts,93,57,1278088397450,1503922210610
Posts,257,670,1279776931060,1521481441317
Posts,244,30,1279779471803,1349102148407
Posts,284,93089,1279781159633,1535784788783
Posts,250,5,1279970521393,1297162238820
Posts,283,642,1280707484023,1517438365587
Posts,270,81,1281032035003,1487801694533
Posts,254,2,1281845287747,1283408600907
Posts,281,60,1281845287747,1485071693030
Posts,276,164,1282849986857,1508763303137
Posts,243,1,1283408283350,1283408283350
Posts,256,2,1283408514607,1296836195880
Posts,274,261,1283408669457,1512581950843
Posts,33,1,1290530094427,1290530094427
Posts,248,3,1297528908370,1392069088980
Posts,268,19,1306302014067,1406847434173
Posts,266,10,1307305289963,1374767269760
Posts,278,2,1308873893793,1338786093530
Posts,163,3,1310094875437,1480946930787
Posts,280,2,1335610639537,1484982044193
Posts,48,7,1340292375040,1433436797447
Posts,34,4,1349663087447,1383373640067
Posts,288,45,1352205167557,1395978336547
Posts,91,4,1357214646783,1367469625273
Posts,287,74,1357567609647,1375719559970
Posts,110,7,1357723968387,1375700953193
Posts,232,5,1361950997300,1375699683667
Posts,213,1,1365654354067,1365654354067
Posts,92,2,1372134506240,1386822128103
Posts,233,1,1382548349200,1382548349200
Posts,111,1,1390192301393,1390192301393
Badges,1,28305144,0,0
