entityName,variationId,count,firstTimestamp,lastTimestamp
Address,6,8,1511637818717,1511637820918
Address,13,5,1511637819160,1511637820608
Address,14,4,1511637819175,1511637821018
Address,15,4,1511637819180,1511637820347
Address,18,1,1511637819725,1511637819725
Address,19,11,1511637819859,1511637820764
Address,21,4,1511637820035,1511637820857
Address,22,1,1511637820037,1511637820037
Address,23,2,1511637820052,1511637820452
Address,25,17,1511637820574,1511637897633
Address,26,3,1511637820710,1511637884809
Address,27,1,1511637820764,1511637820764
Address,28,3,1511637820854,1511637849152
Address,32,5,1511637837084,1511637840957
Address,35,4,1511637837512,1511637871809
Address,39,10,1511637838834,1511637840448
Address,41,5,1511637838957,1511637839752
Address,42,3,1511637839213,1511637840946
Address,43,15,1511637839475,1511637840959
Address,44,3,1511637840412,1511637840566
Address,45,2,1511637840948,1511637840949
Address,46,1,1511637840949,1511637840949
Address,49,10,1511637847290,1511637851507
Address,50,11,1511637847619,1511637851480
Address,51,2,1511637848607,1511637848610
Address,55,5,1511637863283,1511637897387
Address,56,5,1511637863301,1511637897272
Address,57,17,1511637865001,1511637874087
Address,59,1,1511637868951,1511637868951
Address,65,4,1511637880652,1511637886521
Address,66,1,1511637880659,1511637880659
Address,69,1,1511637881653,1511637881653
Address,70,9,1511637882074,1511637886814
Address,71,2,1511637883937,1511637884213
Address,72,1,1511637884985,1511637884985
Alias,8,4,1511637833606,1511637834737
Alias,9,1,1511637834191,1511637834191
Alias,12,5,1511637837640,1511637841225
Alias,14,7,1511637838840,1511637840371
Alias,15,4,1511637838846,1511637840311
Alias,19,10,1511637839067,1511637841053
Alias,21,4,1511637839360,1511637840006
Alias,27,3,1511637839825,1511637840267
Alias,29,4,1511637839851,1511637840168
Alias,30,3,1511637839886,1511637840194
Alias,31,1,1511637839887,1511637839887
Alias,32,1,1511637839891,1511637839891
Alias,33,1,1511637839913,1511637839913
Alias,34,2,1511637839958,1511637839980
Alias,35,1,1511637839976,1511637839976
Alias,36,6,1511637840001,1511637840336
Alias,37,1,1511637840001,1511637840001
Alias,38,1,1511637840001,1511637840001
Alias,39,1,1511637840006,1511637840006
Alias,41,2,1511637840081,1511637840622
Alias,42,1,1511637840148,1511637840148
Alias,43,4,1511637840267,1511637840313
Alias,44,2,1511637840311,1511637840366
Alias,45,1,1511637840313,1511637840313
Alias,46,1,1511637840315,1511637840315
Alias,50,1,1511637840744,1511637840744
Alias,51,3,1511637840943,1511637840947
Alias,60,3,1511637870326,1511637872637
Alias,61,4,1511637872076,1511637872803
Alias,65,2,1511637896714,1511637896911
Birth_date,4,52,1511637841117,1511637851962
Birth_place,8,3,1511637871260,1511637872215
Identifier,7,4,1511637818703,1511637820151
Identifier,12,3,1511637819170,1511637820456
Identifier,13,7,1511637819277,1511637820308
Identifier,14,8,1511637819318,1511637820564
Identifier,15,3,1511637819590,1511637819739
Identifier,18,7,1511637820043,1511637872215
Identifier,19,2,1511637820307,1511637820583
Identifier,20,5,1511637820314,1511637851480
Identifier,21,1,1511637820489,1511637820489
Identifier,25,4,1511637848865,1511637851507
Posts,4145,1,1511637896798,1511637896798
Posts,4146,1,1511637896799,1511637896799
Posts,4147,1,1511637896802,1511637896802
Posts,4148,1,1511637896803,1511637896803
Posts,4149,1,1511637896804,1511637896804
Posts,4151,1,1511637896807,1511637896807
Posts,4152,1,1511637896808,1511637896808
Posts,4154,1,1511637896810,1511637896810
Posts,4155,1,1511637896811,1511637896811
Posts,4157,1,1511637896813,1511637896813
Posts,4158,1,1511637896814,1511637896814
Posts,4161,1,1511637896817,1511637896817
Posts,4162,1,1511637896818,1511637896818
Posts,4163,1,1511637896820,1511637896820
Posts,4164,1,1511637896825,1511637896825
Posts,4165,1,1511637896827,1511637896827
Posts,4166,1,1511637896830,1511637896830
Posts,4167,1,1511637896832,1511637896832
Posts,4168,1,1511637896833,1511637896833
Posts,4169,1,1511637896834,1511637896834
Posts,4170,1,1511637896835,1511637896835
Posts,4171,1,1511637896837,1511637896837
Posts,4172,1,1511637896837,1511637896837
Posts,4173,1,1511637896839,1511637896839
Posts,4175,1,1511637896842,1511637896842
Posts,4176,1,1511637896845,1511637896845
Posts,4177,1,1511637896850,1511637896850
Posts,4178,1,1511637896851,1511637896851
Posts,4181,1,1511637896857,1511637896857
Posts,4182,1,1511637896857,1511637896857
Posts,4184,1,1511637896863,1511637896863
Posts,4185,1,1511637896865,1511637896865
Posts,4188,1,1511637896871,1511637896871
Posts,4189,1,1511637896874,1511637896874
Posts,4190,1,1511637896882,1511637896882
Posts,4193,1,1511637896911,1511637896911
Posts,4198,1,1511637896928,1511637896928
Posts,4199,1,1511637896930,1511637896930
Posts,4203,1,1511637896940,1511637896940
Posts,4204,1,1511637896944,1511637896944
Posts,4206,1,1511637896945,1511637896945
Posts,4207,1,1511637896945,1511637896945
Posts,4208,1,1511637896946,1511637896946
Posts,4210,1,1511637896948,1511637896948
Posts,4211,1,1511637896949,1511637896949
Posts,4212,1,1511637896951,1511637896951
Posts,4213,1,1511637896952,1511637896952
Posts,4214,1,1511637896954,1511637896954
Posts,4215,1,1511637896956,1511637896956
Posts,4216,1,1511637896957,1511637896957
Posts,4217,1,1511637896959,1511637896959
Posts,4219,1,1511637896962,1511637896962
Posts,4220,1,1511637896963,1511637896963
Posts,4221,1,1511637896964,1511637896964
Posts,4222,1,1511637896965,1511637896965
Posts,4223,1,1511637896966,1511637896966
Posts,4224,1,1511637896967,1511637896967
Posts,4225,1,1511637896975,1511637896975
Posts,4226,1,1511637896976,1511637896976
Posts,4228,1,1511637896978,1511637896978
Posts,4229,1,1511637896979,1511637896979
Posts,4230,1,1511637896980,1511637896980
Posts,4238,1,1511637896987,1511637896987
Posts,4239,1,1511637896989,1511637896989
Posts,4240,1,1511637896990,1511637896990
Posts,4241,1,1511637896991,1511637896991
Posts,4242,1,1511637896993,1511637896993
Posts,4243,1,1511637896993,1511637896993
Posts,4244,1,1511637897010,1511637897010
Posts,4245,1,1511637897011,1511637897011
Posts,4246,1,1511637897013,1511637897013
Posts,4247,1,1511637897016,1511637897016
Posts,4248,1,1511637897022,1511637897022
Posts,4249,1,1511637897028,1511637897028
Posts,4250,1,1511637897036,1511637897036
Posts,4253,1,1511637897051,1511637897051
Posts,4254,1,1511637897053,1511637897053
Posts,4255,1,1511637897055,1511637897055
Posts,4256,1,1511637897076,1511637897076
Posts,4257,1,1511637897076,1511637897076
Posts,4258,1,1511637897079,1511637897079
Posts,4259,1,1511637897080,1511637897080
Posts,4261,1,1511637897082,1511637897082
Posts,4262,1,1511637897086,1511637897086
Posts,4263,1,1511637897087,1511637897087
Posts,4264,1,1511637897088,1511637897088
Posts,4265,1,1511637897091,1511637897091
Posts,4266,1,1511637897099,1511637897099
Posts,4267,1,1511637897100,1511637897100
Posts,4268,1,1511637897100,1511637897100
Posts,4269,1,1511637897103,1511637897103
Posts,4271,1,1511637897104,1511637897104
Posts,4272,1,1511637897105,1511637897105
Posts,4273,1,1511637897106,1511637897106
Posts,4274,1,1511637897106,1511637897106
Posts,4275,1,1511637897109,1511637897109
Posts,4276,1,1511637897111,1511637897111
Posts,4277,1,1511637897112,1511637897112
Posts,4278,1,1511637897114,1511637897114
Posts,4279,1,1511637897115,1511637897115
Posts,4280,1,1511637897124,1511637897124
Posts,4281,1,1511637897129,1511637897129
Posts,4282,1,1511637897135,1511637897135
Posts,4283,1,1511637897141,1511637897141
Posts,4284,1,1511637897143,1511637897143
Posts,4286,1,1511637897150,1511637897150
