entityName,variationId,count,firstTimestamp,lastTimestamp
Comments,3,4574,1220941098713,1538538297710
Comments,4,513,1222945484943,1306339236220
Comments,5,36,1458724584883,1589412685247
Posts,1,57,1217533372667,1353399695930
Posts,2,3395,1217534888620,1583668864663
Posts,4,170,1217541401303,1515745187253
Posts,5,1103,1217544158903,1572531550773
Posts,6,3723,1217545151177,1462871914470
Posts,8,2724,1217560364193,1587248244740
Posts,11,22112,1217586171593,1590508077157
Posts,12,10766,1217586657630,1590564521200
Posts,13,2279,1217588197920,1585124372263
Posts,14,38,1217589440640,1270031388293
Posts,16,166,1217590707133,1562129301717
Posts,17,32930,1217591160097,1590747361950
Posts,18,22016,1217591793837,1533011465153
Posts,19,403,1217593192510,1580794353057
Posts,21,2091,1217594484277,1463037205060
Posts,22,2164,1217596985190,1586965890047
Posts,24,30,1217603588933,1277295448700
Posts,26,14784,1217605915407,1590490976267
Posts,28,10188,1217656567933,1293574401217
Posts,29,9972,1217660307540,1589742627320
Posts,30,1530,1217662097683,1586974552517
Posts,32,25,1217699510250,1275063518917
Posts,33,2273,1217705951733,1590075091750
Posts,34,1107,1217721959620,1584522479587
Posts,38,593,1217798301627,1472923068233
Posts,39,11173,1217803645143,1587195304557
Posts,41,19,1217818118013,1279363804267
Posts,42,141,1217821800337,1509996800703
Posts,43,2054,1217825480323,1589211229703
Posts,44,2111,1217851046097,1369238312390
Posts,47,565,1217860246347,1589090156847
Posts,49,2605,1217884098603,1577893926297
Posts,50,14,1217886622933,1265728484733
Posts,51,3471,1217915138310,1590331778707
Posts,52,3387,1217927716953,1589204819110
Posts,54,904,1217941500170,1590442357617
Posts,55,1061,1217944688473,1588937636973
Posts,56,973,1217976965937,1487211737030
Posts,57,5986,1218026649137,1590085013577
Posts,58,2971,1218030299433,1238959474713
Posts,59,2712,1218032055100,1590493468677
Posts,63,14879,1218061503457,1590264708393
Posts,65,2610,1218068998180,1571836676817
Posts,66,625,1218099358613,1559213475713
Posts,67,24856,1218106491057,1590234109130
Posts,69,165,1218136044760,1557413153560
Posts,70,213,1218142830053,1584139439340
Posts,71,6,1218193308757,1237894046217
Posts,72,10762,1218197145290,1464882131177
Posts,73,1702,1218211443653,1588696246417
Posts,74,1169,1218244799117,1590577346710
